constituency,ward,clat,clon,place_id,place_name,place_lat,place_long,place_type,distance_km
 Westlands,Kitisuru,-1.2395542,36.7839651,85c91c1ec93b4979cc3aea0543d6a59eca374cba,ROBA GAS SUPPLIER,-1.2068331,36.78180909999999,gas_station,3.6440169895698036
 Dagoretti North,Gatina,-1.1655719999999998,36.85526373,6337ff8826c371d36ad7aba2b9784bb5361bc326,Quickfill Service station,-1.1632286,36.82258230000001,gas_station,3.6403039093007785
 Lang'ata,Karen,-1.3283746,36.7049676,6cde008a1dee891c3a7b53c9106bbb2ad1f82889,Gulf Energy - Ngong Bubul,-1.334142,36.672943,gas_station,3.615042460802268
 Dagoretti North,Gatina,-1.1655719999999998,36.85526373,1bb623a138878510badf66230125e943a4435bad,Nyati Service Station,-1.1630962,36.8228777,gas_station,3.608661144474839
 Dagoretti North,Gatina,-1.1655719999999998,36.85526373,eceb34a8966c76d50d6c3d229ef1fa0aced63c51,Kimap kerosene pump,-1.1643875,36.82362910000001,gas_station,3.5171391279166984
 Westlands,Kitisuru,-1.2395542,36.7839651,8624d49f3eeeb423be58962eea6a314eb9cbb052,Urafiki Service Station,-1.2087276000000002,36.78803550000001,gas_station,3.4553296847254407
 Dagoretti North,Gatina,-1.1655719999999998,36.85526373,3d6a3f3ee544febc26fa20ed67a96267886e2997,Kerosene pump,-1.1654761999999999,36.8243641,gas_station,3.433030972068042
 Westlands,Kitisuru,-1.2395542,36.7839651,6d1f418be44e0fe115d1b62eb898f1a4114ebf79,Delta Service Station – Ruaka Town,-1.2093923,36.78821049999999,gas_station,3.3847684430334826
 Westlands,Kitisuru,-1.2395542,36.7839651,ae620694c9054b96e3d18e88d4afeb0639a20359,Delta Petrol Station,-1.2094992,36.78835069999999,gas_station,3.375218802211769
 Westlands,Kitisuru,-1.2395542,36.7839651,8f09ff71c269193f173d7975f8ebcce4ead06ce7,Shaz Energy Station,-1.2097034,36.7886126,gas_station,3.3571182786064053
 Dagoretti North,Gatina,-1.1655719999999998,36.85526373,996287e51e8bca2bf18ca70951a630a9bd596ad7,Diesel pump,-1.1666982,36.82529870000001,gas_station,3.331529146750332
 Westlands,Kitisuru,-1.2395542,36.7839651,d3f2fa5cd9c0ff1710ec8935b5524c1419d8bf41,Total Rosslyn Service Station,-1.2106473999999998,36.7894119,gas_station,3.2687734126333323
 Dagoretti North,Gatina,-1.1655719999999998,36.85526373,2ff18e10698db23686def72d0e52140908654cc5,Kobil Banana,-1.16808,36.825983,gas_station,3.2650662910659944
 Embakasi West,Kariobangi South,-1.324728,36.887724,36d488cbf13be475c176765be9bfeffce31318f3,Total-Embakasi,-1.3113155,36.91365649999999,gas_station,3.2436998132063657
 Embakasi East,Upper Savanna,-1.324728,36.887724,3a863df318c244cbcf511beb109c58d1c32189f2,Total Embakasi Service Station,-1.311398,36.913652,gas_station,3.2390528347741836
 Roysambu,Kahawa,-1.1869631,36.912022,0c76fb4b370674c471ee498cf876f4e1ffae44d0,National Oil Petrol Station,-1.1776791000000002,36.939646100000004,gas_station,3.237840785999917
 Dagoretti North,Gatina,-1.1655719999999998,36.85526373,6580f5d1452a20ded56b940b8b7960a0a96558b7,Oilibya Kiambu,-1.168568,36.82666500000001,gas_station,3.1947727507493346
 Dagoretti North,Gatina,-1.1655719999999998,36.85526373,5fa9afa757faea03723653815eb85a8564eafa19,OilLibya Petrol Station,-1.1684787,36.8266675,gas_station,3.193477583407163
 Dagoretti North,Gatina,-1.1655719999999998,36.85526373,065f69b1ecb6b19d13e917d1afb65fea011285c8,Kiambu Kobil,-1.1685174999999999,36.826750200000006,gas_station,3.184776924084335
 Dagoretti North,Gatina,-1.1655719999999998,36.85526373,8cabb35e584c7405099eae2de0cc3217bae8820f,24-7 Gas Station,-1.1702404,36.8271286,gas_station,3.1686262485207166
 Dagoretti North,Gatina,-1.1655719999999998,36.85526373,d25022f24fb68c7e049f22724b9761989f95429e,National Oil,-1.1702103000000001,36.8272065,gas_station,3.1595411322833233
 Dagoretti North,Gatina,-1.1655719999999998,36.85526373,bcd26f3fb2403cfa95d2a768d8691f6354b7bb7e,Service bay,-1.174803,36.8284249,gas_station,3.1533574086350935
 Dagoretti North,Gatina,-1.1655719999999998,36.85526373,ded89338effe9381753f850bfbe1915ca3026989,Joy Ann Gas Bay,-1.1707003999999999,36.8274167,gas_station,3.1459111027185065
 Dagoretti North,Gatina,-1.1655719999999998,36.85526373,22c8b454ba9ac38022148228b90dcda625f2526f,Total Kiambu Service Station,-1.1747919,36.82853809999999,gas_station,3.141064829270017
 Dagoretti North,Gatina,-1.1655719999999998,36.85526373,05a57f471c2d33d0d84b32db137c75980a2466e7,Shell,-1.171454,36.828323600000004,gas_station,3.0636423895329994
 Dagoretti North,Gatina,-1.1655719999999998,36.85526373,32be69af4b5ea589b5a6ced6506072972cb01bfa,Shell Petrol Station,-1.1714418,36.82833170000001,gas_station,3.062474151170329
 Embakasi East,Upper Savanna,-1.324728,36.887724,4063e2c3afdaa429fb1a27e1f3871735b69ec2e0,Kencor petrol station,-1.3183633999999995,36.914424600000004,gas_station,3.0494702470883515
 Dagoretti North,Gatina,-1.1655719999999998,36.85526373,a7c0359351b988c6133fe717611360e50c146b62,Petrol Station,-1.1714658000000002,36.8284623,gas_station,3.0488705334322925
 Dagoretti North,Gatina,-1.1655719999999998,36.85526373,757d7745c2fbd0716582754e2294df72458bb9d5,Jumbo Petrol Station,-1.1603548000000001,36.882191399999996,gas_station,3.0473818901150387
 Westlands,Kitisuru,-1.2395542,36.7839651,dc768e9b5eaa9b9e456d39f205b85db5d81f8046,Gasolina Petrol Station,-1.2197866000000002,36.7665796,gas_station,2.9250916660514297
 Kasarani,Ruai,-1.2677339,36.9911112,b9ca58c0a3da5190c569b98468f511d6688107c4,Shell petrol station,-1.2762079,37.0160334,gas_station,2.924551765397596
 Dagoretti South,Uthiru,-1.2631329,36.7188955,3c37130d4dcdee8d494f0a10021a47cffa90614d,National Oil Corporation-Midrand,-1.2551458999999998,36.6940738,gas_station,2.896960422473003
 Dagoretti South,Uthiru,-1.2631329,36.7188955,ec7677fb4b19582622d23b9efc931225f9d81267,MIDLAND PETROLEUM GAS STATION,-1.2550755,36.69412670000001,gas_station,2.8937775948151905
 Dagoretti South,Uthiru,-1.2631329,36.7188955,8867a18d2e6d17c63529b0fbd0d1b97f6dea8705,National Oil Petrol Station,-1.2551448,36.6941159,gas_station,2.892545975080734
 Dagoretti North,Gatina,-1.1655719999999998,36.85526373,2dda65c5b9e0f582a9d5ab4ffeb55e39e3e0b430,Mogas,-1.1724551,36.830157899999996,gas_station,2.892280407912309
