County/ Sub-County,Conventional Households,Mode of Human Waste Disposal (%) Main Sewer, Septic tank,Pool Cess,VIP Latrine,Pit latrine covered,Pit latrine uncovered,Bucket,Open/Bush,Bio-septic tank/Biodigester,Not Stated
MERU SOUTH,28211,1.3,9.1,0.1,25.9,58.2,4.8,0.1,0.3,0.2,0
THARAKA NORTH,13403,0.1,0.4,0,11.6,59.8,23.4,0.9,3.7,0,0.1
THARAKA SOUTH,18603,0.2,0.8,0,10,73.1,14.6,0.1,1,0,0
MT. KENYA FOREST,71,-,2.8,-,29.6,66.2,1.4,-,-,-,-
EMBU,182427,2.2,7.2,0.3,14.5,66.2,8.6,0.3,0.7,0,0
EMBU EAST,39586,0.3,3,0.1,22.9,67.8,5.6,0.1,0.2,0,-
EMBU NORTH,24294,1.1,4.4,0.2,19.9,67.9,5.8,0.5,0.3,0,0
EMBU WEST,43126,8.1,21.6,0.8,8.6,54.5,5.8,0.4,0.1,0.1,0
MBEERE SOUTH,45924,0.2,2,0.2,11.1,70.2,14.2,0.3,1.8,0.1,0
MBEERE NORTH,29483,0.2,2.4,0.1,12.9,73.5,10.1,0.1,0.6,0,0
MT. KENYA FOREST,14,-,-,-,-,100,-,-,-,-,-
KITUI,261814,0.5,2.8,0.1,13,62,12,0.3,9.2,0.1,0
IKUTHA,16579,0.1,0.7,0.1,8.8,66.1,15.1,0.3,8.9,-,0
KATULANI,12166,0.1,1.1,0.1,13.2,70.6,12.8,0.3,1.8,0,-
KISASI,10860,0.7,1,0.1,17.6,65.1,10.1,0.2,5.2,0,0
KITUI CENTRAL,29026,2.8,13.1,0.1,14.2,59.4,7.8,0.3,1.9,0.3,0
KITUI WEST,17465,0.1,1.2,0,14.9,66,16.6,0.2,0.9,0,-
KYUSO,15969,0,0.4,0.1,7.8,58.9,11.1,0.1,21.5,0,0
LOWER YATTA,15021,0.1,1.5,0.1,11.8,65.3,16.5,0.7,3.9,0.2,0
MATINYANI,11497,0.4,1.1,0.1,16.8,68.4,10.7,0.2,2.2,0,-
MIGWANI,18843,0.1,0.6,0.1,16.9,67,13.9,0.1,1.2,0,0
MUMONI,6451,0,0.3,0,6.8,69.5,12.3,0.2,10.9,0,0
MUTITU,11490,0.1,0.5,0.1,15.1,42.4,11.8,0.4,29.5,0,0.1
MUTITU NORTH,4929,0,0.4,0.1,20,51.4,9.5,0.1,18.4,-,0
MUTOMO,23034,0.2,1,0.1,10.1,63,12.1,0.2,13.2,0,0
MWINGI CENTRAL,26745,0.5,5.1,0.1,16,61.8,11.3,0.4,4.7,0,0
MWINGI EAST,18725,0,1.5,0,9.4,50.3,12,0.7,26.1,0,0
NZAMBANI,11276,0.3,2.4,0,13.1,70.3,8.3,0.2,5.5,0,-
THAGICU,3289,0.2,0.1,0.2,14.6,67.2,11.5,0.1,6.1,0,-
TSEIKURU,8449,0.1,1.3,0.1,8.9,56.6,13,0.2,19.7,0,-
MACHAKOS,399523,5.7,12.6,0.3,14.9,54.8,10.1,0.3,0.9,0.5,0
ATHI RIVER,109723,16.3,34,0.4,10.4,32.4,4.1,0.4,0.4,1.5,0.1
KALAMA,14137,0.5,1.7,0,12.6,70.6,13.7,0.4,0.5,0,0
KANGUNDO,26115,0.2,1.4,0.1,18.7,69.7,9.2,0.1,0.5,0,0
KATHIANI,28730,0.1,1.1,0.1,13.9,70.4,13.8,0.1,0.5,0,0
MACHAKOS,50753,7.6,13.1,0.3,15.2,55.2,7.9,0.2,0.2,0.2,0
MASINGA,36196,0.4,1.4,0.6,14.6,64.4,15.5,0.3,2.8,0.1,0
MATUNGULU,44399,0.8,6.7,0.2,19.4,59,12.4,0.3,1,0.1,0
MWALA,45809,0.3,1.2,0.1,17,67.3,12.8,0.2,1.2,0,0
YATTA,43661,0.8,2.8,0.4,18.4,61.4,14.4,0.2,1.6,0,0
MAKUENI,243979,0.4,2.4,0.1,15.2,67.1,13.4,0.2,1.2,0.1,0
KATHONZWENI,18362,0.1,1.1,0,15,67.7,14.9,0.2,1,0,0
KIBWEZI,47594,0.4,3,0.3,15.2,62.2,16.7,0.2,1.7,0.3,0
KILUNGU,14563,0,0.6,0,11.2,73.9,12,0.1,2.2,0,0
MAKINDU,21662,0.8,4.9,0.1,14.7,63.5,13.3,0.4,2.3,0,0
MAKUENI,34352,0.6,2.8,0.3,18.7,66.4,10.6,0.1,0.5,0,0
MBOONI EAST,23724,0,0.3,0.1,15.4,70.1,12.6,0.1,1.1,0.2,0
MBOONI WEST,24807,0.1,1.2,0.1,13.9,66.8,17,0.4,0.5,0,0
MUKAA,28109,0.5,3.4,0.1,14.6,68.4,12,0.2,0.9,0,0
NZAUI,30806,0.3,2.2,0,15.2,70.7,10.4,0.2,0.8,0.1,0
NYANDARUA,178224,0.3,3.1,0.1,17.8,71.8,6.6,0.1,0.2,0,0
KINANGOP,30847,0.2,1.2,0.1,19.3,72.6,6.3,0,0.1,0,0
NYANDARUA SOUTH,25650,0.9,3.7,0.1,13.7,76,5.4,0,0,0.2,0
MIRANGINE,17880,0.2,1.2,0,14.2,80.8,3.5,0,0,0,0
KIPIPIRI,25077,0.1,1,0,13.4,76.6,8.6,0.1,0.2,0,0
NYANDARUA CENTRAL,21852,0.2,8.2,0.2,25.6,58.4,6.8,0.2,0.3,0,0
NYANDARUA WEST,29003,0.3,4.6,0.3,21.9,64,8.6,0.1,0.3,0,0
NYANDARUA NORTH,27906,0.2,1.9,0.1,15.9,75.8,6,0,0.1,0,0
ABERDARE NATIONAL PARK,9,-,11.1,-,66.7,22.2,-,-,-,-,-
NYERI,244564,6.7,7.1,0.2,14,66.3,5.3,0.1,0.1,0.1,0
TETU,24122,0.5,3.4,0,14.8,77.2,4,0.1,0.1,0.1,0
KIENI EAST,36751,2,7.6,0.4,11,72.5,6.2,0,0.1,0.1,0
KIENI WEST,27530,0.5,2.8,0.1,8.2,79.8,8.4,0.1,0.2,0,0
MATHIRA EAST,33945,10.2,7.4,0.6,14.6,63,4,0.1,0,0,0
MATHIRA WEST,18892,0.4,2.2,0.1,13.7,76.8,6.5,0.1,0.1,0.1,0
NYERI SOUTH,28103,2.3,6.1,0.2,20.8,67.2,3.3,0.1,0,0,0
MUKURWE-INI,27036,0.3,4.5,0.1,17.8,69.3,7.9,0.1,0.1,0,0
NYERI CENTRAL,48036,23.3,14.7,0.3,13,44.7,3.4,0.3,0.1,0.1,0
MT. KENYA FOREST,101,-,21.8,-,-,55.4,19.8,-,3,-,-
ABERDARE FOREST,48,-,18.8,-,81.3,- ,-,-,-,-,-
KIRINYAGA,203576,0.7,8.4,0.2,17.9,68.5,3.9,0.2,0.2,0,0
KIRINYAGA CENTRAL,40149,1.5,12.4,0.2,17.9,65,2.6,0.3,0.1,0,0
KIRINYAGA EAST,44509,0.3,3.8,0.1,21.9,70.2,3.3,0.2,0.2,0,0
KIRINYAGA WEST,37951,0.3,9.4,0.3,19.1,66,4.7,0.1,0.1,0.1,0
MWEA EAST,46331,0.9,11.1,0.2,15.9,66.6,4.6,0.2,0.4,0.1,0
MWEA WEST,34613,0.1,4.8,0.1,14.4,75.6,4.6,0.1,0.2,0,0
MT. KENYA FOREST,23,4.3,-,-,13,82.6,-,-,-,-,-
MURANG'A,317496,2.3,4.5,0.1,15.8,71.4,5.4,0.1,0.2,0.1,0
MURANG'A EAST,34650,16.4,7.1,0.2,11.8,55.2,8.7,0.1,0.3,0.1,0
KANGEMA,25283,1,3.7,0.3,20.6,70.4,3.7,0.2,0.1,0,-
MATHIOYA,28372,0.4,2.5,0.6,17.1,74.8,4,0.2,0.3,0,0
KAHURO,26778,0.2,3,0.1,15.4,78.5,2.4,0.1,0.2,0.1,0
MURANG'A SOUTH,55878,0.6,7,0.1,13.6,70.7,7.2,0.2,0.5,0.1,0
GATANGA,55340,0.8,4.4,0.1,16.8,70.8,6.7,0.1,0.3,0.2,0
KIGUMO,40528,0.5,3.6,0.1,19.4,72.7,3.4,0.1,0.1,0.1,0
KANDARA,50657,0.6,3.2,0,13.8,77.6,4.5,0.1,0.1,0,0
ABERDARE FOREST,10,-,10,-,20,70,-,-,-,-,-
KIAMBU,792333,9.1,24.9,0.5,15.3,45.9,3.3,0.3,0.1,0.5,0
GATUNDU NORTH,31452,0.7,3.4,0.1,12.1,79.1,4,0.1,0.5,0,0
GATUNDU SOUTH,35577,0.4,5.2,0.2,17.3,72.1,4.4,0.1,0.1,0,0
GITHUNGURI,49414,0.6,6.2,0.3,17.9,72.3,2.3,0.2,0.2,0.1,0
JUJA,104042,5.5,35.2,0.6,17.2,35.9,4.1,0.6,0.1,0.8,0
KABETE,66681,1.7,23.3,0.4,19.4,51.9,2.5,0.2,0,0.3,0
KIAMBAA,80316,2.6,22.8,0.5,14.5,55,3.6,0.2,0.1,0.7,0
KIAMBU,46816,10.6,28.6,0.5,10.2,45,3.7,0.3,0.1,1,0.1
KIKUYU,60619,0.8,31.5,0.3,15.2,48.8,2.8,0.1,0,0.4,0
LARI,38585,0.8,3.9,0.2,18.9,72.1,3.8,0.1,0.1,0.1,0
LIMURU,49096,4.5,10.2,0.5,28.3,52.7,2.9,0.3,0.1,0.4,0
RUIRU,127910,18,38.4,0.6,11.8,26.5,3.4,0.5,0,0.6,0
THIKA EAST,12736,0.7,16.3,0.2,19.7,55.4,7,0.2,0.3,0.2,0
THIKA WEST,89089,35.2,34.2,1.1,8.4,18.3,2,0.4,0.1,0.3,0
TURKANA,162627,0.4,1.4,0.2,3.3,18.9,6.8,0.8,68.1,0.1,0.1
KIBISH,5699,0,0.1,0.1,0.4,3.4,1.5,0.6,93.8,0.1,-
LOIMA,19139,0,0.2,0,0.6,5.2,4,0.4,89.3,0.1,0.1
TURKANA CENTRAL,37917,0.7,3,0.2,7.7,27.5,5.5,0.3,55,0,0
TURKANA EAST,17887,0.1,0.5,0,2.9,8.9,3.1,1,83.2,0.1,0.1
TURKANA NORTH,12964,0.1,0.4,0,0.8,4.7,1.5,0.3,91.5,0.6,0
TURKANA SOUTH,24281,0.3,0.5,0.1,2.6,19.4,2.9,0.8,73.1,0.1,0.1
TURKANA WEST,44740,0.6,1.7,0.4,2.3,27.1,14.8,1.6,51.2,0.1,0.1
WEST POKOT,115761,0.2,1.2,0.1,5.3,41.7,8.1,0.7,42.7,0,0
KIPKOMO,18367,0,1.2,0,8.4,53.1,8.2,0.6,28.6,0,-
POKOT CENTRAL,21784,0,0.1,0,3.2,33.6,8.9,0.4,53.8,0,0
POKOT NORTH,25736,0,0.8,0.1,1.5,13.9,4.2,0.8,78.6,0,0.1
POKOT SOUTH,13752,0,0.8,0,6.8,71.5,15.4,0.5,5,-,-
WEST POKOT,36122,0.5,2.3,0.2,7.1,49.3,7.6,0.8,32,0.1,0
SAMBURU,63951,0.4,1.4,0,4.2,23.6,4.2,0.6,65.6,0,0
SAMBURU CENTRAL,33720,0.7,2.3,0.1,5.5,29,4.5,0.8,57.2,0,0
SAMBURU EAST,17307,0.1,0.4,0,4.1,18.7,2.5,0.3,73.9,0,-
SAMBURU NORTH,12924,0.1,0.4,0,0.8,16.3,5.6,0.5,76.2,0,0
