County/ Sub-County,Conventional Households,Mode of Human Waste Disposal (%) Main Sewer, Septic tank,Pool Cess,VIP Latrine,Pit latrine covered,Pit latrine uncovered,Bucket,Open/Bush,Bio-septic tank/Biodigester,Not Stated
MASHUURU,15908,0.2,3.8,0.4,24.8,51,6.7,0.3,12.8,0,0
KERICHO,205932,1.7,2.6,0.1,10,69.8,13.7,0.4,1.5,0.1,0
BELGUT,34978,0.3,3.1,0,11.7,73.7,10.5,0.4,0.2,0.1,0
BURETI,43098,0.2,1.5,0.1,10.1,75.7,11.7,0.3,0.3,0,0
KERICHO EAST,44246,6.9,6.8,0.2,13.5,62,9.1,0.7,0.6,0.2,0.1
KIPKELION,24676,0.3,0.4,0,2.4,74.4,21.2,0.3,0.8,0.1,0
LONDIANI,31739,0.5,1.3,0,10,72.6,14.8,0.1,0.5,0,0
SOIN SIGOWET,27195,0.1,0.7,0.1,9,60.6,20.6,0.4,8.5,0,0
BOMET,187230,0.3,1.2,0.1,6.7,77.5,13,0.2,1,0.1,0
BOMET EAST,29897,0,0.4,0,4.9,74.4,17.8,0.2,2.3,0,0
CHEPALUNGU,33850,0,0.2,0,2.8,84.1,11,0.4,1.6,0,0
KONOIN,38123,0.4,1.5,0.3,8.6,77.9,10.4,0.1,0.7,0.2,0
SOTIK,47265,0.2,1.3,0,7.4,78.3,12,0.2,0.5,0.2,0
BOMET CENTRAL,38095,0.6,2.2,0.2,8.7,72.9,14.8,0.1,0.4,0.1,0
KAKAMEGA,432284,0.8,2.4,0.1,12.3,73.4,9.5,0.4,1.1,0,0
BUTERE,36243,0.3,0.6,0,10.2,78,9.8,0.2,0.8,0,0
KAKAMEGA CENTRAL,51956,3.6,10.8,0.2,16,61.2,7.1,0.3,0.6,0.1,0
KAKAMEGA EAST,39589,0.3,1.3,0.1,12.3,76.3,8.3,0.4,0.9,0,0.1
KAKAMEGA NORTH,50952,0.3,0.9,0.1,13.8,73.5,9.3,0.8,1.3,0,0
KAKAMEGA SOUTH,26940,0.2,0.7,0,17.9,70,9.9,0.1,0.9,0.1,0
KHWISERO,27681,0.1,0.6,0.1,9.5,79.2,9.7,0.1,0.6,0,0
LIKUYANI,34776,0.4,1.4,0.2,15.8,71.5,9.2,0.4,0.9,0.1,0
LUGARI,27817,0,0.8,0.1,16.5,74,7.6,0.2,0.8,0,0
MATETE,13956,0,1,0.8,8.3,75.8,12.4,0.4,1.2,0,-
MATUNGU,36414,0.1,0.5,0.1,9.9,73.3,12.9,0.7,2.5,0,0
MUMIAS EAST,25995,0.2,1.1,0.3,10.8,76.6,9.7,0.2,1.1,0,0
MUMIAS WEST,27650,3.2,5.5,0.1,6.2,73.5,9.6,0.8,0.9,0,0
NAVAKHOLO,32315,0.1,1.1,0.1,7.4,79.3,10.4,0.3,1.3,0,0
VIHIGA,143288,0.3,1.3,0.1,18.4,70.1,9.1,0.2,0.6,0,0
EMUHAYA,23803,0.1,0.5,0,12.8,74.3,11.5,0.1,0.6,0,0
VIHIGA,23359,0.2,2.3,0.1,21.5,66.5,8.9,0.1,0.3,0,0
SABATIA,31391,0.7,1.8,0,26,64.5,6.7,0.1,0.2,0,0
LUANDA,26766,0.2,1,0,12.5,76,9.3,0.3,0.5,0,0
HAMISI,37965,0.2,1.1,0.2,17.6,70.1,9.4,0.3,1,-,0
KAKAMEGA FOREST,4,-,-,-,50,25,25,-,-,-,-
BUNGOMA,357714,1,2.8,0.2,10.9,68.6,14.7,0.5,1.4,0.1,0
BUMULA,44922,0.1,1.3,0.1,7.6,73.6,14.3,0.5,2.4,0,0
BUNGOMA CENTRAL,37535,0.2,1.4,0.3,11.3,72,13.2,0.4,1.2,0,0
BUNGOMA EAST,24798,2.7,2.4,0.3,18,67.4,8.2,0.2,0.8,0,0
BUNGOMA NORTH,24940,0,0.6,0,18.1,69.6,10.3,0.2,1.1,0,0
BUNGOMA SOUTH,69088,2.7,7.6,0.2,9.6,69.8,8.1,0.8,1.1,0.1,0
CHEPTAIS,26007,0.1,0.6,0.2,4.3,54.4,37.5,0.4,2.5,0,0
KIMILILI,35053,0.2,2.8,0.1,15.2,64.2,16,0.4,1,0.1,0
MT. ELGON,15230,0.1,1.3,0.1,7.7,54,35.1,0.2,1.6,-,0
BUNGOMA WEST,25166,0.1,0.5,0.2,4.5,74,18,1,1.6,0,0
TONGAREN,21343,0.1,0.4,0,17,70.6,11.1,0.2,0.5,0,0
WEBUYE WEST,32834,2.2,3.9,0.2,10.4,73.8,8.8,0.2,0.5,0.1,0
MT. ELGON FOREST,798,-,-,-,-,20.1,63.5,1.6,14.8,-,-
BUSIA,197944,0.6,2.2,0.2,11.1,68,14.9,0.4,2.5,0.1,0
BUNYALA,19028,0.2,1,0,9.6,68.9,14.2,0.2,6,0.1,0
BUSIA,33152,2.3,3.9,0.1,13.3,67.5,11,0.8,0.9,0.2,0
BUTULA,32199,0.1,0.6,0,9.4,70.5,16.8,0.3,2,0.1,0
NAMBALE,23889,0.2,0.9,0.3,14.8,68.4,13.1,0.4,1.8,0,0
SAMIA,23813,0.1,0.8,0.1,8.3,73.5,13.7,0.2,3.3,0,-
TESO NORTH,29314,0.1,3,0.3,12.1,63.5,18.4,0.2,2.4,0.1,0
TESO SOUTH,36549,0.9,3.8,0.2,9.9,65.6,16.5,0.6,2.5,0.1,0
SIAYA,249341,0.3,1.4,0.1,10.8,68.9,12,0.3,6,0,0
SIAYA,57386,0.8,2,0.1,11.4,68.2,13.4,0.3,3.9,0,0.1
GEM,44696,0.1,1.5,0,7.8,74.9,12.8,0.3,2.6,0,0
UGENYA,33554,0.2,0.7,0.1,12.7,68.8,12.9,0.3,4.2,0,0
UGUNJA,26321,0.3,1.7,0.1,10,75.3,10.4,0.3,1.9,0,0
BONDO,50454,0.3,1.6,0.1,13.3,61.5,9.2,0.5,13.4,0,0
RARIEDA,36930,0.1,0.8,0.1,8.7,68.9,13.1,0.4,7.8,0,0.1
KISUMU,296846,4.8,6.1,0.2,8.7,65.4,10.5,0.5,3.6,0.1,0
KISUMU EAST,61499,3.2,8.4,0.2,12,64,10.7,0.3,1.1,0.1,0
KISUMU CENTRAL,52163,20.9,16.5,0.4,7.7,46.1,7.4,0.7,0.2,0.1,0
KISUMU WEST,42785,1.4,5.3,0.1,11.1,69,9.9,0.3,2.8,0.1,0
SEME,29404,0.1,0.6,0.1,7.3,72,12.3,0.7,6.7,0.1,0
MUHORONI,36982,1.9,2.4,0.1,5.3,69.9,8.6,0.4,11.3,0.1,0
NYANDO,38460,0.4,1.6,0.1,7.4,74.2,11.7,0.6,4,0,0
NYAKACH,35553,0.1,1.2,0.1,8,72,15,0.4,3.2,0,0
