County,Population Age 3years and Above,Population Age 3Ownership,Use of Internet,Use of Desktop Computer/Tablet/ Laptop,Bought goods and services online 
25 - 34,39026,28855,11710,4216,1321
35 - 44,22469,17194,5509,1873,494
45 - 54,12601,9488,2507,992,231
55 - 64,9231,6700,1177,439,90
65 - 74,5033,3046,276,85,18
75+,3080,1219,102,28,2
Not stated,1,-,-,-,-
MERU,1436400,723172,277160,102691,21363
3 - 4,70552,1416,964,778,-
5 - 9,174689,4292,3328,3869,-
10 - 14,193966,9248,6476,5630,-
15 - 24,294924,162865,97101,37343,6018
25 - 34,227794,189122,84894,29016,8428
35 - 44,188316,154683,47816,14156,4036
45 - 54,118232,96386,22369,7471,1872
55 - 64,81542,61386,10064,3338,789
65 - 74,53868,32184,3250,841,188
75+,32492,11590,898,249,32
Not stated,25,-,-,-,-
THARAKA-NITHI,367574,188394,69154,29987,5563
3 - 4,16540,369,241,244,-
5 - 9,43132,1074,861,1321,-
10 - 14,47915,2060,1592,1691,-
15 - 24,74041,38593,22678,10085,1393
25 - 34,54313,46456,21219,8575,2266
35 - 44,45375,38161,11590,4006,1051
45 - 54,33558,27864,6551,2542,582
55 - 64,24909,19245,3179,1203,219
65 - 74,16766,10563,967,250,45
75+,11015,4009,276,70,7
Not stated,10,-,-,-,-
EMBU,568228,323700,125572,53649,10516
3 - 4,24803,462,399,383,-
5 - 9,60787,1539,1431,2405,-
10 - 14,67853,3382,2768,3076,-
15 - 24,115658,67620,41920,18659,2930
25 - 34,90844,79807,37509,14122,3914
35 - 44,77573,67776,21865,7381,1960
45 - 54,54816,48044,11927,4729,1110
55 - 64,37361,31566,5711,2268,483
65 - 74,23005,16673,1597,499,100
75+,15523,6831,445,127,19
Not stated,5,-,-,-,-
KITUI,1056907,452948,143340,51579,11702
3 - 4,52747,755,508,343,-
5 - 9,144222,2085,1751,1953,-
10 - 14,173034,4182,2736,2301,-
15 - 24,238624,97452,47794,17777,3102
25 - 34,134497,110956,42331,14258,4508
35 - 44,106912,89386,23485,7265,2163
45 - 54,80856,68078,14495,4826,1294
55 - 64,54451,42857,6880,2094,511
65 - 74,41938,26520,2438,549,97
75+,29616,10677,922,213,27
Not stated,10,-,-,-,-
MACHAKOS,1327172,748673,342005,156435,44133
3 - 4,59617,1224,1850,1655,-
5 - 9,150233,3713,6030,7358,-
10 - 14,165663,7459,8771,8743,-
15 - 24,276366,154066,100819,45966,10380
25 - 34,229012,204183,107011,42674,16813
35 - 44,176291,156991,64074,26767,10168
45 - 54,111709,100278,33524,15329,4799
55 - 64,79045,68548,14741,6212,1646
65 - 74,47871,37209,4069,1411,271
75+,31352,15002,1116,320,56
Not stated,13,-,-,-,-
MAKUENI,921168,451528,148699,56473,12838
3 - 4,40245,541,350,306,-
5 - 9,111131,1597,1330,2201,-
10 - 14,135902,3091,2243,3156,-
15 - 24,200913,88630,48727,19830,3379
25 - 34,128973,111281,45877,15080,4845
35 - 44,103972,90400,25378,7846,2476
45 - 54,78023,68368,14618,4985,1401
55 - 64,55591,47060,7041,2355,596
65 - 74,39832,29121,2341,551,117
75+,26579,11439,794,163,24
Not stated,7,-,-,-,-
NYANDARUA,594649,327013,122388,45701,9011
3 - 4,28491,441,329,370,-
5 - 9,74764,1292,1188,2996,-
10 - 14,82612,2919,2389,2797,-
15 - 24,123400,65197,42880,17630,2798
25 - 34,80525,72442,34312,10555,3315
35 - 44,74016,67704,20683,5114,1512
45 - 54,58786,54870,12740,3823,880
55 - 64,36218,33451,5885,1881,412
65 - 74,20943,18434,1542,421,85
75+,14890,10263,440,114,9
Not stated,4,-,-,-,-
NYERI,709353,454881,211806,97427,22154
3 - 4,29355,680,754,813,-
5 - 9,74891,2175,2953,5131,-
10 - 14,76059,4932,5511,6244,-
15 - 24,131296,84597,67998,35141,6232
25 - 34,102465,95702,57970,22775,7901
35 - 44,99985,93045,38377,12998,4305
45 - 54,81574,76476,22979,8597,2429
55 - 64,53638,49954,11127,4461,1048
65 - 74,35156,30845,3250,1005,202
75+,24926,16475,887,262,37
Not stated,8,-,-,-,-
KIRINYAGA,571312,350181,137563,55510,12219
3 - 4,22945,464,387,382,-
5 - 9,57145,1362,1486,2207,-
10 - 14,60730,3037,3031,3000,-
15 - 24,103668,62627,44667,20359,3560
25 - 34,90620,81358,40609,14136,4483
35 - 44,91138,81594,25505,7438,2295
45 - 54,65057,58576,13678,4987,1268
55 - 64,40632,35324,6161,2378,497
65 - 74,23935,18283,1614,522,99
75+,15436,7556,425,101,17
Not stated,6,-,-,-,-
MURANG'A,988224,567538,204760,80287,17185
3 - 4,45468,717,626,668,-
5 - 9,114116,2290,2423,4608,-
10 - 14,117477,4915,4592,4917,-
15 - 24,180024,102988,68306,28628,4882
25 - 34,135680,120186,58039,19452,6334
35 - 44,131265,115420,35443,10204,3021
45 - 54,102211,91471,21008,7192,1931
55 - 64,72525,64579,10127,3491,811
65 - 74,52796,43689,3245,872,193
75+,36650,21283,951,255,13
Not stated,12,-,-,-,-
KIAMBU,2231514,1473583,952267,486910,152171
3 - 4,106198,2758,6512,6233,-
5 - 9,241100,9360,19737,25306,-
10 - 14,225975,18060,26551,27432,-
15 - 24,474181,340668,277617,147945,38492
25 - 34,480432,454255,320757,151810,67314
35 - 44,322757,304112,175400,73955,29548
45 - 54,194483,183532,85185,37205,12321
55 - 64,100632,93494,31164,13559,3743
65 - 74,53399,46710,7895,2930,664
75+,32321,20634,1449,535,89
Not stated,36,-,-,-,-
TURKANA,851797,141432,58533,20541,5147
3 - 4,60786,642,305,250,-
5 - 9,144883,2075,818,737,-
10 - 14,141748,3293,1197,971,-
15 - 24,212498,38718,21006,6294,1428
25 - 34,131835,47751,20279,7287,2124
35 - 44,72441,26927,9045,3088,982
45 - 54,40727,13200,3830,1354,461
55 - 64,23717,5756,1351,405,120
65 - 74,15572,2381,501,112,22
75+,7587,689,201,43,10
Not stated,3,-,-,-,-
WEST POKOT,553584,116990,44864,16460,2474
3 - 4,48555,405,274,183,-
5 - 9,108271,1026,654,570,-
10 - 14,94958,1549,825,706,-
15 - 24,120721,31057,15623,5982,677
25 - 34,76936,40782,16279,5557,1146
35 - 44,41269,21241,6306,2002,386
45 - 54,28519,12686,3249,1038,197
55 - 64,16548,5382,1137,315,52
65 - 74,12225,2255,396,81,12
75+,5579,607,121,26,4
Not stated,3,-,-,-,-
SAMBURU,279891,76156,27282,11516,2022
3 - 4,22523,372,149,124,-
5 - 9,52809,906,401,414,-
10 - 14,47966,1341,588,561,-
15 - 24,64721,21077,10194,4156,578
25 - 34,39685,24749,8878,3612,875
35 - 44,20518,13141,3977,1522,338
45 - 54,13681,8061,2018,784,165
55 - 64,8746,4152,752,247,46
65 - 74,5677,1756,237,69,16
75+,3563,601,88,27,4
Not stated,2,-,-,-,-
TRANS NZOIA,911209,367752,154412,64667,12364
3 - 4,55203,624,493,482,-
5 - 9,142536,1841,1708,2445,-
10 - 14,148686,3223,2852,3239,-
15 - 24,208335,80304,50948,23233,3486
25 - 34,131346,106253,48861,18073,4809
35 - 44,90691,74734,26356,8884,2276
45 - 54,59301,48878,13890,5063,1170
55 - 64,40825,31773,6772,2533,512
65 - 74,21776,14670,2023,590,100
75+,12506,5452,509,125,11
Not stated,4,-,-,-,-
UASIN GISHU,1070335,549746,299885,144382,37721
3 - 4,57417,856,1033,1162,-
5 - 9,140084,2419,3757,6007,-
10 - 14,145976,4622,6350,8578,-
15 - 24,257056,138217,100439,50894,10645
25 - 34,196801,174664,102595,42723,15734
35 - 44,123075,108969,50373,20130,6948
45 - 54,74243,64853,23795,10233,3146
55 - 64,41319,34008,8890,3756,1053
65 - 74,21184,14958,2144,731,170
75+,13169,6180,509,168,25
Not stated,11,-,-,-,-
ELGEYO / MARAKWET,418765,157287,59627,22935,4428
3 - 4,26260,395,207,165,-
5 - 9,64684,1032,564,1026,-
10 - 14,65525,1366,925,1094,-
15 - 24,97783,38910,22081,9054,1405
25 - 34,61557,49073,19936,6569,1770
35 - 44,38695,29857,8751,2716,731
45 - 54,26654,19061,4567,1622,363
55 - 64,18415,10949,1851,522,124
65 - 74,11874,4910,559,127,31
75+,7317,1734,186,40,4
Not stated,1,-,-,-,-
NANDI,822163,349824,140534,54869,10900
3 - 4,44384,542,359,330,-
5 - 9,116084,1386,1299,2593,-
10 - 14,125995,2450,2134,3018,-
15 - 24,188488,77379,47000,19831,2989
25 - 34,129946,106373,47343,15861,4400
35 - 44,85690,69977,23440,7130,2073
45 - 54,58270,46371,11860,3976,999
55 - 64,37416,26976,5139,1662,333
65 - 74,21635,12964,1492,377,93
75+,14253,5406,468,91,13
Not stated,2,-,-,-,-
BARINGO,609555,213483,93138,38025,7251
3 - 4,41585,549,352,309,-
5 - 9,99322,1456,1053,1405,-
10 - 14,101281,2379,1777,1770,-
15 - 24,142029,54984,34486,14493,2200
25 - 34,86059,62323,29435,10718,2827
35 - 44,52544,38686,13831,4785,1211
45 - 54,36925,26449,7940,3147,733
55 - 64,24210,15790,3071,1128,235
65 - 74,16296,7988,941,211,42
75+,9303,2879,252,59,3
Not stated,1,-,-,-,-
LAIKIPIA,475756,245189,107448,44988,10074
3 - 4,27210,411,414,396,-
5 - 9,64095,1279,1370,2313,-
10 - 14,65036,2582,2326,2675,-
15 - 24,99123,51605,34271,15468,2654
25 - 34,73066,63268,33319,12211,4077
35 - 44,56440,50071,19167,6139,1923
45 - 54,40071,35782,10397,3617,927
55 - 64,25635,22175,4631,1708,410
65 - 74,15702,12436,1266,365,71
75+,9375,5580,287,96,12
Not stated,3,-,-,-,-
NAKURU,1981598,1044389,531767,230624,58427
3 - 4,111376,1758,2018,2209,-
5 - 9,266608,5402,6841,10130,-
10 - 14,272815,10482,11654,13044,-
15 - 24,443796,244215,172531,79973,16726
25 - 34,346839,309181,173689,65659,23742
35 - 44,234384,210849,92947,32140,10633
45 - 54,149193,134507,46824,17865,5045
55 - 64,83648,73412,18912,7530,1866
65 - 74,46171,37763,5166,1710,368
75+,26740,16820,1185,364,47
Not stated,28,-,-,-,-
NAROK,1044966,358031,125491,42546,8496
3 - 4,83317,749,506,431,-
5 - 9,198905,2064,1448,2029,-
10 - 14,179154,3476,2136,2512,-
15 - 24,223762,87882,43863,15433,2483
25 - 34,153581,117969,43777,12893,3592
35 - 44,89223,70011,19621,5289,1499
45 - 54,57072,42960,9286,2647,653
55 - 64,32210,21092,3439,994,222
65 - 74,17465,8801,1057,234,40
75+,10270,3027,358,84,7
Not stated,7,-,-,-,-
KAJIADO,1016058,554415,336467,164967,48551
3 - 4,64638,1365,2296,1929,-
5 - 9,145107,4238,7483,8636,-
10 - 14,128185,8342,10376,10877,-
15 - 24,217891,135826,97349,47427,11771
25 - 34,212424,189758,116609,49101,20017
35 - 44,122235,110988,60596,26571,10269
45 - 54,68913,61070,28080,13748,4655
55 - 64,33136,27813,10234,5171,1475
65 - 74,15360,11128,2903,1292,321
75+,8152,3887,541,215,43
Not stated,17,-,-,-,-
KERICHO,834061,362367,158104,69075,13233
3 - 4,46554,566,500,491,-
5 - 9,118134,1690,1772,2976,-
10 - 14,126818,2961,3021,3860,-
15 - 24,191488,84172,54706,25885,3789
25 - 34,141815,116555,53928,19847,5215
35 - 44,84602,70188,25822,9059,2503
45 - 54,55376,43713,11698,4601,1215
55 - 64,36295,25501,4945,1837,420
65 - 74,21056,12467,1386,430,81
75+,11910,4554,326,89,10
Not stated,13,-,-,-,-
BOMET,810122,331415,134885,53643,10835
3 - 4,47848,480,428,356,-
5 - 9,122412,1378,1413,2226,-
10 - 14,131279,2398,2340,2497,-
15 - 24,190553,76669,47412,20824,3157
25 - 34,128309,105918,46037,15683,4334
35 - 44,74778,62111,21285,6723,1985
45 - 54,50956,40865,10055,3516,916
55 - 64,32274,23688,4219,1407,361
65 - 74,19116,12239,1288,336,67
75+,12594,5669,408,75,15
Not stated,3,-,-,-,-
KAKAMEGA,1732145,708902,250963,109714,23249
3 - 4,96331,1238,853,948,-
5 - 9,268541,3758,3034,4981,-
10 - 14,291430,6453,5010,6354,-
15 - 24,386351,144207,81857,38299,6202
