County / Sub-County,Population 3 Years and above – Total,Population 3 Years and above – Male,Population 3 Years and above – Female,Use of Internet – Total,Use of Internet – Total percent,Use of Internet – Male ,Use of Internet – per cent of male,Use of Internet – Female,Use of Internet – per cent of female,Use of Desktop Computer/Laptop/Tablet – Total,Use of Desktop Computer/Laptop/Tablet – percent total,Use of Desktop Computer/Laptop/Tablet – Male,Use of Desktop Computer/Laptop/Tablet – Male percent,Use of Desktop Computer/Laptop/Tablet – Female,Use of Desktop Computer/Laptop/Tablet – Female per cent
NYANDO,149436,71048,78383,26699,17.9,14708,20.7,11989,15.3,12813,8.6,7301,10.3,5512,7
NYAKACH,139931,66050,73880,22286,15.9,12469,18.9,9817,13.3,10490,7.5,6059,9.2,4431,6
HOMA BAY,1037468,491680,545768,157625,15.2,90677,18.4,66942,12.3,70162,6.8,41789,8.5,28371,5.2
HOMA BAY,106961,50299,56661,23393,21.9,12944,25.7,10448,18.4,12197,11.4,6989,13.9,5207,9.2
NDHIWA,198409,93863,104539,22435,11.3,13601,14.5,8833,8.4,8868,4.5,5500,5.9,3367,3.2
RACHUONYO NORTH,165147,78464,86679,24220,14.7,13944,17.8,10274,11.9,11072,6.7,6663,8.5,4409,5.1
RACHUONYO EAST,112267,52912,59353,16195,14.4,9144,17.3,7050,11.9,7065,6.3,4167,7.9,2898,4.9
RACHUONYO SOUTH,120330,56383,63947,20941,17.4,11513,20.4,9428,14.7,9248,7.7,5407,9.6,3841,6
RANGWE,108345,50653,57689,15654,14.4,8826,17.4,6828,11.8,6691,6.2,3927,7.8,2764,4.8
SUBA NORTH,114461,55323,59137,20600,18,12091,21.9,8508,14.4,9533,8.3,5765,10.4,3768,6.4
SUBA SOUTH,111548,53783,57763,14187,12.7,8614,16,5573,9.6,5488,4.9,3371,6.3,2117,3.7
MIGORI,1016399,486357,530012,145208,14.3,85341,17.5,59865,11.3,62426,6.1,37031,7.6,25395,4.8
AWENDO,107090,51345,55743,17002,15.9,10180,19.8,6822,12.2,7904,7.4,4774,9.3,3130,5.6
KURIA EAST,88045,42653,45385,9524,10.8,5787,13.6,3737,8.2,3877,4.4,2373,5.6,1504,3.3
KURIA WEST,189956,92003,97947,24267,12.8,14421,15.7,9846,10.1,9958,5.2,5917,6.4,4041,4.1
NYATIKE,159883,75746,84130,19558,12.2,12035,15.9,7523,8.9,7365,4.6,4572,6,2793,3.3
RONGO,114373,54154,60218,20094,17.6,11293,20.9,8801,14.6,9875,8.6,5655,10.4,4220,7
SUNA EAST,111811,53380,58428,19636,17.6,11257,21.1,8378,14.3,9081,8.1,5191,9.7,3890,6.7
SUNA WEST,115745,54921,60823,19051,16.5,10745,19.6,8305,13.7,8317,7.2,4829,8.8,3488,5.7
URIRI,129496,62155,67338,16076,12.4,9623,15.5,6453,9.6,6049,4.7,3720,6,2329,3.5
KISII,1179067,561241,617793,188888,16,107428,19.1,81453,13.2,92025,7.8,53238,9.5,38782,6.3
ETAGO,78104,37316,40785,8625,11,5200,13.9,3424,8.4,3725,4.8,2261,6.1,1463,3.6
GUCHA,77635,36552,41082,12159,15.7,6815,18.6,5344,13,6367,8.2,3620,9.9,2747,6.7
GUCHA SOUTH,77984,37202,40779,10281,13.2,6051,16.3,4229,10.4,5085,6.5,2995,8.1,2090,5.1
KENYENYA,122925,58489,64434,15998,13,9279,15.9,6719,10.4,6857,5.6,3995,6.8,2862,4.4
KISII CENTRAL,153169,73940,79226,36585,23.9,20230,27.4,16354,20.6,19583,12.8,11113,15,8469,10.7
KISII SOUTH,126037,59998,66034,18760,14.9,10792,18,7968,12.1,8678,6.9,5024,8.4,3654,5.5
KITUTU CENTRAL,143117,68958,74154,35265,24.6,19207,27.9,16055,21.7,18562,13,10307,14.9,8253,11.1
MARANI,100436,47090,53345,11969,11.9,7021,14.9,4948,9.3,5634,5.6,3351,7.1,2282,4.3
MASABA SOUTH,114613,54167,60442,14865,13,8656,16,6208,10.3,6857,6,4105,7.6,2752,4.6
NYAMACHE,122459,57910,64547,16225,13.2,9353,16.2,6872,10.6,7046,5.8,4269,7.4,2777,4.3
SAMETA,62588,29619,32965,8156,13,4824,16.3,3332,10.1,3631,5.8,2198,7.4,1433,4.3
NYAMIRA,566741,271344,295385,90354,15.9,51409,18.9,38945,13.2,42183,7.4,24562,9.1,17621,6
BORABU,68779,34446,34333,13648,19.8,7801,22.6,5847,17,6632,9.6,3857,11.2,2775,8.1
MANGA,88406,41976,46428,13535,15.3,7792,18.6,5743,12.4,5992,6.8,3480,8.3,2512,5.4
MASABA NORTH,104344,49088,55254,16755,16.1,9583,19.5,7172,13,7588,7.3,4420,9,3168,5.7
NYAMIRA NORTH,156770,75072,81693,21089,13.5,12178,16.2,8911,10.9,10319,6.6,6065,8.1,4254,5.2
NYAMIRA SOUTH,148442,70762,77677,25327,17.1,14055,19.9,11272,14.5,11652,7.8,6740,9.5,4912,6.3
NAIROBI CITY,4010447,1986852,2023404,2100763,52.4,1098800,55.3,1001864,49.5,1124363,28,612850,30.8,511455,25.3
DAGORETTI,398369,199539,198804,188630,47.4,101942,51.1,86674,43.6,93735,23.5,52886,26.5,40841,20.5
EMBAKASI,904247,449669,454540,502164,55.5,263960,58.7,238186,52.4,272166,30.1,149225,33.2,122932,27
KAMUKUNJI,242507,122131,120369,115467,47.6,61739,50.6,53724,44.6,41640,17.2,24208,19.8,17430,14.5
KASARANI,710889,344378,366478,379562,53.4,193203,56.1,186343,50.8,205007,28.8,111229,32.3,93767,25.6
KIBRA,169509,85815,83687,75392,44.5,41154,48,34233,40.9,42385,25,23261,27.1,19121,22.8
LANG'ATA,180488,87399,93081,118899,65.9,58595,67,60302,64.8,86477,47.9,43504,49.8,42972,46.2
MAKADARA,176283,89283,86991,92196,52.3,49033,54.9,43160,49.6,47544,27,26262,29.4,21280,24.5
