"County/ Sub-County","Conventional Households","Type of Cooking Fuel (%) - Electricity","Type of Cooking Fuel (%) - Paraffin","Type of Cooking Fuel (%) - Gas(LPG) ","Type of Cooking Fuel (%) - Biogas","Type of Cooking Fuel (%) - Firewood","Type of Cooking Fuel (%) - Charcoal","Type of Cooking Fuel (%) - Solar","Type of Cooking Fuel (%) - Not Stated"
"MERTI",8558,0.6,0.1,0.9,0.1,93.5,4.7,0.2,"-"
"MERU",423931,0.5,2.2,12.6,0.5,74.3,9.8,0.1,0
"BUURI EAST",23737,0.5,1.8,10.5,0.3,79,7.8,0,0
"BUURI WEST",27905,0.3,2.8,22.3,0.3,50.5,23.7,0.1,0
"IGEMBE CENTRAL",51848,0.6,1.5,4.2,0.4,84.2,8.9,0.2,0
"IGEMBE NORTH",38716,0.6,3.2,5.6,0.5,82.9,6.7,0.4,0
"IGEMBE SOUTH",43222,0.9,2.8,12.6,0.7,70.1,12.7,0.2,0.1
"IMENTI NORTH",57556,0.4,4.2,34.4,0.5,47.5,12.9,0,0
"IMENTI SOUTH",63954,0.4,1.7,12.6,0.6,75.3,9.4,0,0
"MERU CENTRAL",39498,0.2,1.2,8.3,0.5,83.8,5.8,0.1,0
"TIGANIA CENTRAL",24983,0.2,0.4,3.7,0.2,90.9,4.5,0.1,0
"TIGANIA EAST",16791,0.5,0.9,5.3,0.3,79.8,12.9,0.3,0.1
"TIGANIA WEST",35402,0.6,1.4,5.3,0.3,88.4,3.7,0.1,0
"MERU NATIONAL PARK",46,"-","-",87,2.2,"-",10.9,"-","-"
"MT. KENYA FOREST",273,"-",0.4,4.4,"-",94.1,1.1,"-","-"
"THARAKA-NITHI",109450,0.2,1.5,10,0.3,82.2,5.7,0.1,0
"IGAMBANG'OMBE",14383,0.1,0.7,3.5,0.2,90.9,4.4,0.1,0
"MAARA",34779,0.2,1.6,11,0.3,81.8,4.9,0,0
"MERU SOUTH",28211,0.4,2.9,20.3,0.3,69.4,6.6,0,0
"THARAKA NORTH",13403,0.3,0.2,1.2,0.2,92.9,5.1,0.1,0.1
"THARAKA SOUTH",18603,0.2,0.4,3.4,0.3,88.3,7.2,0.2,0
"MT. KENYA FOREST",71,"-",7,73.2,"-",16.9,2.8,"-","-"
"EMBU",182427,0.4,4,18.4,0.4,70.3,6.2,0.2,0
"EMBU EAST",39586,0.5,2.3,10.5,0.5,81.2,4.9,0.1,"-"
"EMBU NORTH",24294,0.5,2.3,14.5,0.5,76,6.3,0,0
"EMBU WEST",43126,0.6,7.5,42.1,0.5,41.7,7.6,0,0
"MBEERE SOUTH",45924,0.2,4,11.7,0.3,77.9,5.7,0.2,0
