"County/ Sub-County","Conventional Households","Type of Cooking Fuel (%) - Electricity","Type of Cooking Fuel (%) - Paraffin","Type of Cooking Fuel (%) - Gas(LPG) ","Type of Cooking Fuel (%) - Biogas","Type of Cooking Fuel (%) - Firewood","Type of Cooking Fuel (%) - Charcoal","Type of Cooking Fuel (%) - Solar","Type of Cooking Fuel (%) - Not Stated"
"BUNGOMA CENTRAL",37535,0.4,2.5,5.7,0.3,80.2,10.6,0.3,0
"BUNGOMA EAST",24798,0.6,2.9,5.9,0.5,77.3,12.5,0.4,0
"BUNGOMA NORTH",24940,0.3,1.5,3.6,0.3,89.8,4.3,0.1,0
"BUNGOMA SOUTH",69088,0.9,4.8,17.9,0.5,54,21.6,0.3,0
"CHEPTAIS",26007,0.2,1.4,2,0.3,86.8,9.1,0.2,0
"KIMILILI",35053,0.5,3.1,7.3,0.4,77.4,10.9,0.4,0
"MT. ELGON",15230,0.1,0.7,2.6,0.3,88.9,7.1,0.1,0
"BUNGOMA WEST",25166,0.2,1,3.1,0.5,88,6.9,0.1,0
"TONGAREN",21343,0.1,1.4,3.5,0.2,89.6,4.8,0.3,0
"WEBUYE WEST",32834,0.2,3,8.1,0.2,76.8,11.5,0.1,0
"MT. ELGON FOREST",798,"-",0.1,"- ",0.4,98.5,1,"-","-"
"BUSIA",197944,0.5,1.5,6,0.4,73.4,18,0.2,0
"BUNYALA",19028,0.2,2.4,4.5,0.1,68.8,23.9,0.1,0
"BUSIA",33152,1,2.2,10.6,0.5,55.7,29.7,0.3,0
"BUTULA",32199,0.5,1.3,3.2,0.3,82.6,11.6,0.4,0
"NAMBALE",23889,0.3,1.2,3.8,0.3,82.8,11.4,0.2,0
"SAMIA",23813,0.4,1,3.9,0.3,81.7,12.5,0.1,"-"
"TESO NORTH",29314,0.3,1.3,6.3,0.4,73.9,17.6,0.1,0
"TESO SOUTH",36549,0.6,1.3,7.4,0.6,72,18,0.1,0
"SIAYA",249341,0.3,2,6,0.3,72.4,18.8,0.2,0
"SIAYA",57386,0.3,1.7,7.3,0.2,69.1,21.2,0.2,0.1
"GEM",44696,0.3,1.1,4.2,0.3,79.5,14.5,0.1,0
"UGENYA",33554,0.3,0.9,3.4,0.2,80.3,14.8,0.1,0
"UGUNJA",26321,0.2,1.5,6.3,0.2,74.1,17.5,0.2,0
"BONDO",50454,0.3,3.9,9.1,0.4,58.5,27.5,0.2,0
"RARIEDA",36930,0.2,2.2,4.3,0.3,79.7,12.9,0.3,0.1
"KISUMU",296846,0.9,7.8,18.7,0.6,49.6,22.2,0.2,0
"KISUMU EAST",61499,1,16.9,26.2,0.8,25.5,29.6,0,0
"KISUMU CENTRAL",52163,1.8,14.6,47,1.2,2.7,32.7,0,0
"KISUMU WEST",42785,0.8,6.8,16.1,0.3,55.1,20.9,0.1,0
"SEME",29404,0.4,1,3.1,0.4,82.9,12,0.2,0
"MUHORONI",36982,0.6,2,6,0.3,71.5,19.1,0.3,0
"NYANDO",38460,0.6,2.5,8.1,0.4,72,16.1,0.3,0
"NYAKACH",35553,0.5,1.2,5,0.3,79,13.6,0.3,0
"HOMA BAY",260290,0.4,1.4,6.2,0.4,74.3,17,0.3,0
"HOMA BAY",28471,0.8,2.1,16.7,0.5,49.3,30.4,0.1,0
"NDHIWA",47956,0.2,0.8,2.9,0.3,84.7,10.6,0.5,0
"RACHUONYO NORTH",41661,0.2,1.4,5.1,0.4,80.1,12.6,0.3,0
"RACHUONYO EAST",27229,0.4,0.6,4.1,0.3,84.7,9.7,0.2,0
"RACHUONYO SOUTH",30693,0.4,1.5,9.1,0.5,69.4,19,0.2,0
"RANGWE",26983,0.5,0.8,4.1,0.4,85.2,8.6,0.5,0
"SUBA NORTH",29662,0.4,3.3,6.4,0.5,63.8,25.3,0.3,0
"SUBA SOUTH",27635,0.4,1.1,3.1,0.4,69.2,25.3,0.5,0
"MIGORI",238133,0.6,1.3,6.8,0.5,71.3,19.2,0.3,0
"AWENDO",27014,1.6,1.5,6.4,0.5,72.2,17.5,0.1,0
"KURIA EAST",17267,0.3,1,2.5,0.7,87.2,8,0.3,0
"KURIA WEST",39723,0.7,1.7,6.7,0.6,67.6,22.3,0.3,0
"NYATIKE",39358,0.2,0.8,3,0.3,72.5,23,0.1,0
"RONGO",29007,0.7,2.5,12.6,0.8,67.4,15.5,0.5,0
"SUNA EAST",27214,0.5,1.2,11.9,0.4,65.4,20.3,0.2,0.1
"SUNA WEST",28839,0.7,1.1,7.8,0.5,58.6,30.7,0.6,0
"URIRI",29711,0.2,0.7,3.3,0.2,86,9.2,0.3,0
"KISII",307254,0.8,2.2,13.5,0.5,77.8,5.1,0.2,0
"ETAGO",18610,0.1,1.4,3.2,0.4,93,1.6,0.3,0
"GUCHA",19621,0.9,1.8,9,0.6,82.2,5.2,0.4,0
"GUCHA SOUTH",19627,0.6,2.1,8.3,0.4,86.1,2.2,0.3,0
"KENYENYA",30985,0.9,2.1,5.9,0.5,85.2,5.1,0.3,0
"KISII CENTRAL",44037,0.9,3.3,30.3,0.5,57.3,7.6,0.1,0
"KISII SOUTH",31574,1.1,1.6,11.5,0.5,81.3,3.8,0.1,0
"KITUTU CENTRAL",41233,1,4.5,32.1,0.7,51.5,10.2,0,0
"MARANI",26133,0.4,1,3.6,0.1,92.4,2.2,0.1,0
"MASABA SOUTH",29206,0.4,1,6.3,0.3,87.4,4.5,0.1,0
"NYAMACHE",30583,1.2,1.9,4.9,0.3,87.5,3.9,0.3,0
"SAMETA",15645,0.6,1.3,6.8,0.4,87.7,3,0.2,0
"NYAMIRA",150499,1.2,1.9,8.6,0.3,84.3,3.5,0.1,0
"BORABU",19404,1.3,2.4,10.5,0.4,80,5.2,0.1,0
"MANGA",23836,1.2,1.5,9.4,0.3,83.9,3.5,0.2,0
"MASABA NORTH",27904,1.2,1.5,8.3,0.3,84.5,4.2,0.1,0
"NYAMIRA NORTH",40396,0.8,1.5,5.6,0.2,89.5,2.2,0.1,0
"NYAMIRA SOUTH",38959,1.5,2.4,10.7,0.4,81.2,3.6,0.1,0
"NAIROBI CITY",1494676,2.3,26.5,67.2,0.6,0.7,2.7,0,0.1
"DAGORETTI",154949,1,25,66.7,1,1.3,4.9,0,0.1
"EMBAKASI",346462,2.2,25.2,70.4,0.6,0.2,1.3,0,0
"KAMUKUNJI",83680,3.1,32.6,58.6,0.8,0.3,4.4,0.1,0.1
"KASARANI",268611,1.4,21,75.1,0.3,0.6,1.5,0,0
"KIBRA",61651,4.7,40.2,43.7,1,0.4,10,0,0
"LANG'ATA",60187,2.9,20.2,70.9,0.5,1.8,3.7,0,0.1
"MAKADARA",70080,3.9,33.6,59.2,0.5,0.2,2.5,0,0
"MATHARE",74967,2.4,48,46.2,0.3,0.3,2.7,0,0.1
"NJIRU",204492,1.4,26.7,68.3,0.4,1.5,1.5,0,0.1
"STAREHE",66108,3.9,25.1,66.6,1,0.3,2.9,0,0.1
"WESTLANDS",103489,3.8,17.9,73.9,0.8,0.9,2.7,0,0
