,constituency,ward,clat,clon,place_id,place_name,place_lat,place_long,place_type
0, Embakasi West,Umoja 1,-1.2778669,36.8881172,8bd8c9a7926357c71826c73d2f8d182b2a4fe455,Superior Wines And Spirits,-1.285483,36.8800601,liquor_store
1, Embakasi West,Umoja 1,-1.2778669,36.8881172,22108b65060aedeba1f1baf34c1f8169636cb41b,Superior Wines And Spirits,-1.285826,36.880466,liquor_store
2, Embakasi West,Umoja 1,-1.2778669,36.8881172,a214a6f430879ef120399e95d20d28e6d9aabb8e,Fystar Wines And Spirits Limited,-1.2866685,36.89569970000001,liquor_store
3, Embakasi West,Umoja 1,-1.2778669,36.8881172,24651896f99114786ccbe0a9439d538e34a254c8,Obomo Wines And Spirits,-1.2550335,36.8666921,liquor_store
4, Embakasi West,Umoja 1,-1.2778669,36.8881172,b3987968588800baa0fd954f69cd4be4301f6c6b,Kapital Wines & Spirits,-1.3029719,36.9159508,liquor_store
5, Embakasi West,Umoja 1,-1.2778669,36.8881172,080588ee4bf4e29aa03273bdc9275b075152bb5f,Kress Wines & Spirits,-1.2781603,36.88879300000001,liquor_store
6, Embakasi West,Umoja 1,-1.2778669,36.8881172,76217f4877701fa5818d6661b05d8ab05d90c3cb,Lidges Wines & Spirits,-1.2786527,36.8882573,liquor_store
7, Embakasi West,Umoja 1,-1.2778669,36.8881172,bc98abb0a52d5b4397ed749a272bd48fe910b17a,Sweet Waters Wines and Spirits,-1.2765856,36.8873933,liquor_store
8, Embakasi West,Umoja 1,-1.2778669,36.8881172,61df56bcce7d85b7e3191f976f5dc97aa10f97f2,Felin's Wines & Spirits,-1.2783608,36.8897261,liquor_store
9, Embakasi West,Umoja 1,-1.2778669,36.8881172,3ffa4442c406d43060da5f0c0e16baa197cc93d9,Big D Wines & Spirits,-1.2761646,36.8872903,liquor_store
10, Embakasi West,Umoja 1,-1.2778669,36.8881172,1df73c9ecd85eaae153b7da4ba360e1472eee25c,Tawa Wines & Spirits,-1.2780386,36.8900594,liquor_store
11, Embakasi West,Umoja 1,-1.2778669,36.8881172,9b525ff8e432062bcb5ee0f884436686e9eb14e5,Jamdown Wines & Spirits,-1.2778462,36.8901596,liquor_store
12, Embakasi West,Umoja 1,-1.2778669,36.8881172,989dd82d60b99021438e8ffd65ac1fa17138b46b,Oilers Wines & Spirits,-1.2782147,36.89100579999999,liquor_store
13, Embakasi West,Umoja 1,-1.2778669,36.8881172,fdb7695890073536be3cbbf1e5c5c8e8c41bd564,Stalish Wines and Spirits,-1.2782821,36.8842431,liquor_store
14, Embakasi West,Umoja 1,-1.2778669,36.8881172,b8b50079fad3a358bdb1885d3119cc2aa3dad530,Salem Liquor,-1.2794591,36.89172959999999,liquor_store
15, Embakasi West,Umoja 1,-1.2778669,36.8881172,f60fd7bc58b6a264bfc2f07a0307619fbdfea1e4,Stepper Wines & Spirits,-1.2826834,36.88827,liquor_store
16, Embakasi West,Umoja 1,-1.2778669,36.8881172,700ed72a30f3fe1ccf0d7f2299cc4206096eebc3,Katoons Sports pub,-1.2790094,36.8832727,liquor_store
17, Embakasi West,Umoja 1,-1.2778669,36.8881172,bfd471778a572d3dc3a269ce838e7ee8f49e1b1a,Rucha Wines & Spirits,-1.2773135,36.8934096,liquor_store
18, Embakasi West,Umoja 1,-1.2778669,36.8881172,d1a75ef7a6e04c9be59465e441ebf4ca5146f78b,Btaz Liquor Store,-1.284836,36.88755700000001,liquor_store
19, Embakasi West,Umoja 1,-1.2778669,36.8881172,ee50d2ce6ada4759815cf81a20c1b001475b695b,Pride of Africa,-1.2803729,36.8960635,liquor_store
